No.,Headword,Group
1,007,#
2,10-000-foot-view,#
3,101,#
4,1040 form,#
5,1040-form,#
6,1066,#
7,10 000-foot view,#
8,12,#
9,1471,#
10,15,#
11,18,#
12,18-wheeler,#
13,2%,#
14,2,#
15,2001-a-space-odyssey,#
16,2.1,#
17,2.2,#
18,24-hour clock,#
19,24-hour-clock,#
20,35 mm,#
21,360-degree feedback,#
22,3D printer,#
23,3G,#
24,3M,#
25,3PS,#
26,401(k),#
27,401-k,#
28,404,#
29,411,#
30,42nd Street,#
31,4G,#
32,4-H,#
33,4x4,#
34,50-yard line,#
35,50-yard-line,#
36,5G,#
37,5 o'clock shadow,#
38,5-o-clock-shadow,#
39,60 Minutes,#
40,737,#
41,747,#
42,7/7,#
43,7-Eleven™,#
44,7UP™,#
45,800 number,#
46,800-number,#
47,900 number,#
48,900-number,#
49,9/11,#
50,911,#
51,9-11,#
52,99,#
53,999,#
54,9 to 5,#
55,A,A
56,a-,A
57,A1,A
58,A2 (level),A
59,AA,A
60,AAA,A
61,Aadhaar,A
62,aapa,A
63,aardvark,A
64,aargh,A
65,Aaron,A
66,AARP,A
67,AAU,A
68,ABA,A
69,aback,A
70,abacus,A
71,abaft,A
72,abalone,A
73,abandon,A
74,abandoned,A
75,abandonment,A
76,abase,A
77,abasement,A
78,abashed,A
79,abate,A
80,abatement,A
81,abattoir,A
82,abaya,A
83,abba,A
84,abbess,A
85,abbey,A
86,Abbie,A
87,abbot,A
88,Abbotsford,A
89,abbreviate,A
90,abbreviated,A
91,abbreviation,A
92,ABC,A
93,ABD,A
94,abdicate,A
95,abdication,A
96,abdomen,A
97,abdominal,A
98,abduct,A
99,abductee,A
100,abduction,A
101,abductor,A
102,Abe,A
103,abed,A
104,Aberdeen,A
105,Aberdonian,A
106,aberrant,A
107,aberration,A
108,Aberystwyth,A
109,abet,A
110,abeyance,A
111,ABH,A
112,abhor,A
113,abhorrence,A
114,abhorrent,A
115,abide,A
116,abide by,A
117,abide-by,A
118,abiding,A
119,Abigail,A
120,ability,A
121,-ability,A
122,ab initio,A
123,abiotic,A
124,abject,A
125,abjectly,A
126,abjure,A
127,ablation,A
128,ablative,A
129,ablaze,A
130,able,A
131,-able,A
132,able-bodied,A
133,ableism,A
134,able seaman,A
135,able-seaman,A
136,ablutions,A
137,ably,A
138,-ably,A
139,ABM,A
140,abnegation,A
141,abnormal,A
142,abnormality,A
143,abnormally,A
144,Abo,A
145,aboard,A
146,abode,A
147,abolish,A
148,abolition,A
149,abolitionism,A
150,abolitionist,A
151,A-bomb,A
152,abominable,A
153,abominably,A
154,abominate,A
155,abomination,A
156,aboriginal,A
157,aborigine,A
158,abort,A
159,abortion,A
160,abortionist,A
161,abortive,A
162,abound,A
163,abound in,A
164,abound-in,A
165,abound with,A
166,abound-with,A
167,about,A
168,about-turn,A
169,above,A
170,above board,A
171,above-board,A
172,above-mentioned,A
173,above-the-fold,A
174,abracadabra,A
175,abrade,A
176,Abraham,A
177,abrasion,A
178,abrasive,A
179,abrasively,A
180,abrasiveness,A
181,abreast,A
182,abridge,A
183,abridged,A
184,abridgement,A
185,abroad,A
186,abrogate,A
187,abrogation,A
188,abrupt,A
189,abruptly,A
190,abruptness,A
191,abs,A
192,abscess,A
193,abscissa,A
194,abscond,A
195,abseil,A
196,abseiling,A
197,absence,A
198,absent,A
199,absentee,A
200,absentee ballot,A
201,absentee-ballot,A
202,absenteeism,A
203,absentee landlord,A
204,absentee-landlord,A
205,absentia,A
206,absently,A
207,absent-minded,A
208,absent-mindedly,A
209,absent-mindedness,A
210,absinthe,A
211,absolute,A
212,absolute alcohol,A
213,absolute-alcohol,A
214,absolutely,A
215,absolute magnitude,A
216,absolute-magnitude,A
217,absolute majority,A
218,absolute-majority,A
219,absolute music,A
220,absolute-music,A
221,absolute temperature,A
222,absolute-temperature,A
223,absolute zero,A
224,absolute-zero,A
225,absolution,A
226,absolutism,A
227,absolutist,A
228,absolve,A
229,absorb,A
230,absorbable,A
231,absorbance,A
232,absorbed,A
233,absorbency,A
234,absorbent,A
235,absorbent cotton,A
236,absorbing,A
237,absorption,A
238,abstain,A
239,abstainer,A
240,abstemious,A
241,abstention,A
242,abstinence,A
243,abstinent,A
244,abstract,A
245,abstracted,A
246,abstractedly,A
247,abstract expressionism,A
248,abstract-expressionism,A
249,abstract expressionist,A
250,abstract-expressionist_1,A
251,abstract-expressionist_2,A
252,abstraction,A
253,abstractionism,A
254,abstractionist,A
255,abstractly,A
256,abstract noun,A
257,abstract-noun,A
258,abstruse,A
259,absurd,A
260,absurdism,A
261,absurdist,A
262,absurdity,A
263,absurdly,A
264,ABTA,A
265,abundance,A
266,abundant,A
267,abundantly,A
268,abuse,A
269,abuser,A
270,abusive,A
271,abusively,A
272,abut,A
273,abutment,A
274,abysmal,A
275,abysmally,A
276,abyss,A
277,abyssal,A
278,a/c,A
279,AC,A
280,acacia,A
281,academia,A
282,academic,A
283,academically,A
284,academician,A
285,academicism,A
286,academic year,A
287,academic-year,A
288,academy,A
289,academy-awardtm,A
290,Acadian,A
291,acanthus,A
292,a cappella,A
293,a-cappella_1,A
294,ACAS,A
295,accede,A
296,accelerando,A
297,accelerate,A
298,acceleration,A
299,accelerator,A
300,accelerator board,A
301,accelerator-board,A
302,accelerometer,A
303,accent,A
304,accented,A
305,accentuate,A
306,accentuation,A
307,accept,A
308,acceptability,A
309,acceptable,A
310,acceptably,A
311,acceptance,A
312,acceptation,A
313,accepted,A
314,access,A
315,access course,A
316,access-course,A
317,accessibility,A
318,accessible,A
319,accession,A
320,accessorize,A
321,accessory,A
322,access provider,A
323,access-provider,A
324,access road,A
325,access-road,A
326,access time,A
327,accidence,A
328,accident,A
329,accidental,A
330,accidentally,A
331,accident and emergency,A
332,accident-and-emergency,A
333,accident-prone,A
334,acclaim,A
335,acclamation,A
336,acclimate,A
337,acclimation,A
338,acclimatization,A
339,acclimatize,A
340,accolade,A
341,accommodate,A
342,accommodating,A
343,accommodation,A
344,accompaniment,A
345,accompanist,A
346,accompany,A
347,accompanying,A
348,accomplice,A
349,accomplish,A
350,accomplished,A
351,accomplishment,A
352,accord,A
353,accordance,A
354,accordingly,A
355,according to,A
356,according-to,A
357,accordion,A
358,accord with,A
359,accord-with,A
360,accost,A
361,account,A
362,accountability,A
363,accountable,A
364,accountancy,A
365,accountant,A
366,account executive,A
367,account-executive,A
368,account for,A
369,account-for,A
370,accounting,A
371,accounts payable,A
372,accounts receivable,A
373,accoutred,A
374,accoutrements,A
375,accredit,A
376,accreditation,A
377,accredited,A
378,accretion,A
379,accrual,A
380,accrue,A
381,acct.,A
382,acculturate,A
383,acculturation,A
384,accumulate,A
385,accumulation,A
386,accumulative,A
387,accumulator,A
388,accuracy,A
389,accurate,A
390,accurately,A
391,accursed,A
392,accusation,A
393,accusative,A
394,accusatory,A
395,accuse,A
396,accuser,A
397,accusing,A
398,accusingly,A
399,accustom,A
400,accustomed,A
401,accustom to,A
402,accustom-to,A
403,ace,A
404,acellular,A
405,acer,A
406,acerbic,A
407,acerbity,A
408,acetaminophen,A
409,acetate,A
410,acetic acid,A
411,acetic-acid,A
412,acetone,A
413,acetylene,A
414,Ace™,A
415,ach,A
416,achcha,A
417,ache,A
418,achievable,A
419,achieve,A
420,achievement,A
421,achiever,A
422,Achilles heel,A
423,Achilles tendon,A
424,achingly,A
425,achkan,A
426,achoo,A
427,achy,A
428,acid,A
429,acid drop,A
430,acid-drop,A
431,acid house,A
432,acid-house,A
433,acidic,A
434,acidify,A
435,acidity,A
436,acid jazz,A
437,acid-jazz,A
438,acidly,A
439,acid rain,A
440,acid-rain,A
441,acid rock,A
442,acid-rock,A
443,acid salt,A
444,acid-salt,A
445,acid test,A
446,acid-test,A
447,acidulous,A
448,ack-ack,A
449,ackee,A
450,acknowledge,A
451,acknowledgement,A
452,acknowledgement of country,A
453,ACLU,A
454,acme,A
455,acne,A
456,acolyte,A
457,aconite,A
458,acorn,A
459,a couple,A
460,acoustic,A
461,acoustically,A
462,acoustician,A
463,acoustics,A
464,acquaint,A
465,acquaintance,A
466,acquaintance rape,A
467,acquaintance-rape,A
468,acquaintanceship,A
469,acquainted,A
470,acquiesce,A
471,acquiescence,A
472,acquiescent,A
473,acquire,A
474,acquired characteristic,A
475,acquired-characteristic,A
476,acquisition,A
477,acquisitive,A
478,acquisitiveness,A
479,acquit,A
480,acquittal,A
481,acre,A
482,acreage,A
483,acrid,A
484,acrimonious,A
485,acrimoniously,A
486,acrimony,A
487,acrobat,A
488,acrobatic,A
489,acrobatically,A
490,acrobatics,A
491,acrolect,A
492,acronym,A
493,acropolis,A
494,across,A
495,acrostic,A
496,acrylamide,A
497,acrylic,A
498,act,A
499,act for,A
500,act-for,A
501,acting,A
502,acting pilot officer,A
503,acting-pilot-officer,A
504,actinium,A
505,action,A
506,actionable,A
507,actioner,A
508,action figure,A
509,action-figure,A
510,action film,A
511,action-film,A
512,action group,A
513,action-group,A
514,action-mantm,A
515,action movie,A
516,action-movie,A
517,action-packed,A
518,action painting,A
519,action-painting,A
520,action point,A
521,action-point,A
522,action replay,A
523,action-replay,A
524,action research,A
525,action-research,A
526,action stations,A
527,action-stations,A
528,activate,A
529,activation,A
530,active,A
531,active citizen,A
532,active-citizen,A
533,active duty,A
534,active-duty,A
535,active list,A
536,active-list,A
537,actively,A
538,active service,A
539,active-service,A
540,activism,A
541,activist,A
542,activity,A
543,activity tracker,A
544,activity-tracker,A
545,act on,A
546,act-on,A
547,act on behalf of,A
548,act-on-behalf-of,A
549,actor,A
550,actor-manager,A
551,act out,A
552,act-out,A
553,actress,A
554,actual,A
555,actual bodily harm,A
556,actual-bodily-harm,A
557,actuality,A
558,actualize,A
559,actually,A
560,actuarial,A
561,actuary,A
562,actuate,A
563,act up,A
564,act-up,A
565,act upon,A
566,act-upon,A
567,acuity,A
568,acumen,A
569,acupressure,A
570,acupuncture,A
571,acupuncturist,A
572,acute,A
573,acute accent,A
574,acute-accent,A
575,acute angle,A
576,acute-angle,A
577,acutely,A
578,acuteness,A
579,-acy,A
580,acyclic,A
581,acyclovir,A
582,ad,A
583,adage,A
584,adagio,A
585,Adam,A
586,adamant,A
587,adamantine,A
588,adamantly,A
589,adam-s-apple,A
590,Adam’s apple,A
591,adapt,A
592,adaptability,A
593,adaptable,A
594,adaptation,A
595,adapter,A
596,adaptive,A
597,ADAS,A
598,ad blocker,A
599,ad-blocker,A
600,ADC,A
601,add,A
602,addendum,A
603,adder,A
604,addict,A
605,addicted,A
606,addiction,A
607,addictive,A
608,add in,A
609,add-in,A
610,addition,A
611,additional,A
612,additionally,A
613,addition reaction,A
614,addition-reaction,A
615,additive,A
616,addle,A
617,addled,A
618,add on,A
619,add-on,A
620,address,A
621,addressable,A
622,address bar,A
623,address-bar,A
624,address book,A
625,address-book,A
626,addressee,A
627,add to,A
628,add-to,A
629,adduce,A
630,adductor,A
631,add up,A
632,add-up,A
633,add up to,A
634,add-up-to,A
635,addy,A
636,Adelaide,A
637,adenoidal,A
638,adenoids,A
639,adept,A
640,adeptly,A
641,adequacy,A
642,adequate,A
643,adequately,A
644,ADHD,A
645,adhere,A
646,adherence,A
647,adherent,A
648,adhere to,A
649,adhere-to,A
650,adhesion,A
651,adhesive,A
652,ad hoc,A
653,ad hominem,A
654,ad-hominem,A
655,adieu,A
656,ad infinitum,A
657,adipose,A
658,adjacent,A
659,adjacent angle,A
660,adjacent-angle,A
661,adjectival,A
662,adjectivally,A
663,adjective,A
664,adjoin,A
665,adjoining,A
666,adjourn,A
667,adjournment,A
668,adjourn to,A
669,adjourn-to,A
670,adjudge,A
671,adjudicate,A
672,adjudication,A
673,adjudicator,A
674,adjunct,A
675,adjure,A
676,adjust,A
677,adjustable,A
678,adjustable spanner,A
679,adjustable-spanner,A
680,adjustment,A
681,adjutant,A
682,adjutant general,A
683,adjutant-general,A
